time,altitude,velocity
2.300000,954.611366,92.401086
3.700000,2698.160708,163.141428
9.300000,11353.442679,79.394033
13.600000,13460.262677,22.471278
19.800000,12991.883374,-36.561833
20.200000,12840.811785,-39.752070
28.400000,7713.587359,-77.705648
32.600000,4313.284194,-83.509574
0.400000,20.346849,13.759996
2.100000,783.805089,83.089787
4.500000,4152.897973,205.907975
4.600000,4358.805948,211.219105
8.300000,10451.754912,99.698715
9.900000,11803.639578,69.159667
12.200000,13031.731893,37.927065
19.900000,12955.321541,-37.371018
22.400000,11799.308379,-54.941753
25.200000,10063.444510,-68.521815
32.900000,4062.503345,-83.758102
1.600000,435.672306,60.852838
4.400000,3952.322847,200.575126
6.700000,8488.766825,146.734779
13.900000,13524.544704,19.350962
20.300000,12801.059715,-40.529963
23.500000,11163.710735,-61.007999
31.000000,5636.286093,-81.874736
9.800000,11732.854914,70.784664
11.900000,12910.836365,41.496621
16.900000,13670.288891,-10.368062
22.500000,11744.366626,-55.534771
26.500000,9145.062348,-72.933160
37.500000,148.549189,-86.077912
11.800000,12868.124263,42.712102
12.700000,13209.818033,32.205107
16.500000,13702.043603,-6.477073
17.400000,13608.804882,-15.174694
21.800000,12116.030931,-51.205519
22.200000,11907.379011,-53.730347
11.100000,12533.883651,51.636307
11.700000,12824.182990,43.941273
20.600000,12677.168326,-42.815204
24.000000,10853.723452,-63.442537
28.700000,7479.859778,-78.308160
16.000000,13719.750766,-1.581367
16.700000,13688.113849,-8.426542
17.700000,13560.430417,-18.017205
30.900000,5718.038864,-81.752771
36.800000,750.235590,-85.858261
12.600000,13176.489153,33.328880
20.100000,12879.778011,-38.966226
31.500000,5225.743314,-82.447078
25.800000,9646.782963,-70.688556
30.100000,6367.345243,-80.678403
33.600000,3474.589792,-84.278574
36.700000,836.059575,-85.823985
0.600000,51.454737,20.995934
6.800000,8635.501605,142.986379
9.600000,11586.287382,74.127395
15.700000,13718.608730,1.361844
23.000000,11460.930511,-58.374226
27.200000,8628.479208,-74.899958
28.900000,7323.050629,-78.689933
30.700000,5881.167995,-81.500941
33.100000,3894.907835,-83.915004
0.300000,10.115071,10.231779
4.900000,5008.275547,226.952796
5.200000,5704.535258,228.988120
23.300000,11284.186941,-59.978795
24.200000,10726.374706,-64.362290
24.400000,10597.201565,-65.251967
30.000000,6447.876196,-80.530953
35.100000,2203.895316,-85.157883
3.400000,2240.428430,147.322824
8.400000,10551.453626,97.440144
8.800000,10928.221663,88.951823
18.800000,13311.382707,-28.071580
18.900000,13283.311127,-28.951297
21.900000,12064.825412,-51.849512
24.900000,10266.676940,-67.348437
27.400000,8478.419347,-75.414833
28.500000,7635.881711,-77.910560
30.500000,6043.777192,-81.238227
33.500000,3558.798795,-84.209004
34.000000,3137.072979,-84.542103
1.000000,157.934327,36.197418
16.400000,13707.543564,-5.499961
21.500000,12265.698192,-49.222339
23.100000,11402.556285,-58.917252
27.500000,8403.004514,-75.664829
35.400000,1948.275995,-85.301437
1.800000,561.703779,69.565726
7.100000,9053.765261,132.544922
8.700000,10837.224547,90.997116
18.600000,13364.861709,-26.293430
25.600000,9787.118727,-69.992211
34.500000,2713.752419,-84.840560
36.900000,664.377330,-85.891781
2.200000,866.894876,87.716490
20.000000,12917.950524,-38.172513
23.800000,10979.186814,-62.492154
33.800000,3305.964579,-84.413227
34.900000,2374.059935,-85.056746
6.500000,8183.445994,154.688691
9.000000,11104.127321,85.001021
15.100000,13689.788040,7.267819
16.200000,13715.607354,-3.542202
18.400000,13414.748450,-24.491419
34.700000,2544.015450,-84.951039
35.800000,1606.799624,-85.478578
0.000000,0.000000,0.000000
17.100000,13648.585583,-12.299731
5.500000,6368.784726,207.126956
8.900000,11017.173486,86.953836
14.100000,13562.217498,17.297686
14.500000,13625.308809,13.245119
27.000000,8777.478836,-74.364708
28.300000,7791.083925,-77.496565
32.700000,4229.774620,-83.594222
0.100000,0.000000,3.352333
8.500000,10648.893770,95.238801
12.000000,12952.332987,40.294296
19.000000,13254.359830,-29.824565
26.200000,9362.020835,-72.006870
26.900000,8851.568075,-74.089239
37.100000,492.560988,-85.956617
6.400000,8024.530373,158.915621
11.500000,12732.555380,46.442921
18.700000,13338.568279,-27.185572
20.500000,12719.229924,-42.061597
26.300000,9290.013965,-72.321441
2.500000,1144.154947,101.939487
4.700000,4570.025053,216.501732
18.000000,13503.565436,-20.821440
23.700000,11041.192124,-62.005310
29.600000,6768.462329,-79.909412
29.800000,6608.483237,-80.226651
33.400000,3642.936689,-84.137894
36.200000,1264.637688,-85.640659
2.000000,705.283175,78.521914
3.300000,2098.317622,142.110808
17.500000,13593.630187,-16.126097
19.600000,13062.549227,-34.920795
22.700000,11632.712486,-56.695578
25.500000,9856.753177,-69.634450
27.100000,8703.114128,-74.634921
35.500000,1862.974558,-85.347206
35.900000,1521.321046,-85.520459
37.400000,234.597786,-86.048597
7.400000,9441.791914,123.148602
9.100000,11189.128342,83.091367
19.100000,13224.535265,-30.691237
29.000000,7244.360696,-78.875059
32.800000,4146.180397,-83.677053
12.300000,13069.658958,36.761179
23.400000,11224.208147,-60.497412
31.300000,5390.306199,-82.225441
35.000000,2289.003189,-85.107873
0.700000,72.450671,24.704550
4.200000,3567.225976,189.869842
15.300000,13703.335888,5.293961
22.300000,11853.648665,-54.340286
24.100000,10790.280914,-63.906208
34.100000,3052.530877,-84.604449
3.200000,1961.382736,136.934886
6.900000,8778.487984,139.377561
8.100000,10245.338229,104.399281
9.400000,11432.836712,77.602853
14.700000,13650.795499,11.241310
17.300000,13623.024565,-14.219683
29.900000,6528.256585,-80.380389
37.600000,62.471277,-86.106578
3.900000,3029.764635,173.800658
4.100000,3382.716565,184.509411
16.600000,13695.566530,-7.452681
21.200000,12409.262520,-47.162496
22.100000,11960.490926,-53.111915
26.100000,9433.707214,-71.686379
30.400000,6124.879845,-81.102653
35.700000,1692.235380,-85.435756
36.500000,1007.601606,-85.753095
0.900000,125.629343,32.304984
16.800000,13679.687307,-9.398416
27.600000,8327.339685,-75.909971
10.900000,12426.567042,54.338559
15.900000,13720.351179,-0.600413
21.100000,12455.721440,-46.458920
24.800000,10333.620376,-66.943436
29.700000,6688.552916,-80.069680
32.500000,4396.707263,-83.423070
1.700000,496.525143,65.178636
11.000000,12480.905601,52.978050
15.000000,13681.530456,8.257583
15.800000,13719.970574,0.380606
31.700000,5060.741847,-82.659426
32.300000,4563.286272,-83.244337
34.400000,2798.535886,-84.783467
37.700000,-23.635301,-86.134609
1.900000,631.269505,74.013670
11.600000,12778.998301,45.184688
12.800000,13242.023139,31.090799
29.200000,7086.429201,-79.234131
7.200000,9186.310184,129.305880
13.100000,13331.988486,27.800722
13.800000,13504.159330,20.385374
14.400000,13611.056582,14.252227
21.400000,12314.242418,-48.544226
0.200000,3.352333,6.762737
10.400000,12133.755055,61.450208
16.100000,13718.169400,-2.562045
36.100000,1350.239168,-85.601480
36.400000,1093.318054,-85.716448
5.800000,6971.020529,188.634859
12.400000,13106.420137,35.606485
13.500000,13436.739276,23.523400
21.600000,12216.475853,-49.891930
27.800000,8175.279376,-76.386006
30.800000,5799.667054,-81.628190
0.800000,97.155221,28.474122
1.300000,278.451219,48.246060
2.900000,1581.228704,121.652760
7.900000,10029.124611,109.365980
10.200000,12006.359316,64.455359
20.700000,12634.353122,-43.560590
24.600000,10466.263890,-66.112149
31.900000,4895.320190,-82.862851
33.900000,3221.551351,-84.478372
6.100000,7520.526946,172.747402
7.600000,9685.158879,117.379784
9.200000,11272.219709,81.222970
